Sept. 10, 2025   18:46:05
A.C. Impedance
File: small device 2 ch 4 eis day 0.bin
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.05
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg
6.836e+2, 2.449e+5, -6.462e+5, 6.910e+5, -69.2
5.615e+2, 2.975e+5, -7.476e+5, 8.046e+5, -68.3
4.639e+2, 3.596e+5, -8.645e+5, 9.363e+5, -67.4
3.809e+2, 4.333e+5, -9.960e+5, 1.086e+6, -66.5
3.174e+2, 5.231e+5, -1.144e+6, 1.258e+6, -65.4
2.588e+2, 6.316e+5, -1.310e+6, 1.455e+6, -64.3
2.148e+2, 7.617e+5, -1.495e+6, 1.678e+6, -63.0
1.758e+2, 9.140e+5, -1.695e+6, 1.926e+6, -61.7
1.465e+2, 1.086e+6, -1.906e+6, 2.194e+6, -60.3
1.221e+2, 1.295e+6, -2.142e+6, 2.503e+6, -58.8
9.766e+1, 1.537e+6, -2.396e+6, 2.846e+6, -57.3
8.254e+1, 1.802e+6, -2.661e+6, 3.214e+6, -55.9
6.812e+1, 2.101e+6, -2.945e+6, 3.617e+6, -54.5
5.625e+1, 2.434e+6, -3.244e+6, 4.055e+6, -53.1
4.642e+1, 2.807e+6, -3.556e+6, 4.531e+6, -51.7
3.831e+1, 3.220e+6, -3.880e+6, 5.042e+6, -50.3
3.162e+1, 3.667e+6, -4.210e+6, 5.583e+6, -48.9
2.609e+1, 4.137e+6, -4.545e+6, 6.146e+6, -47.7
2.154e+1, 4.621e+6, -4.889e+6, 6.727e+6, -46.6
1.778e+1, 5.101e+6, -5.252e+6, 7.322e+6, -45.8
1.468e+1, 5.568e+6, -5.653e+6, 7.935e+6, -45.4
1.212e+1, 6.028e+6, -6.128e+6, 8.596e+6, -45.5
1.000e+1, 6.462e+6, -6.683e+6, 9.297e+6, -46.0
8.257e+0, 6.869e+6, -7.366e+6, 1.007e+7, -47.0
6.818e+0, 7.283e+6, -8.265e+6, 1.102e+7, -48.6
5.625e+0, 7.672e+6, -9.273e+6, 1.203e+7, -50.4
5.000e+0, 8.130e+6, -1.067e+7, 1.341e+7, -52.7
3.750e+0, 8.747e+6, -1.271e+7, 1.543e+7, -55.5
3.000e+0, 9.455e+6, -1.512e+7, 1.783e+7, -58.0
2.500e+0, 1.020e+7, -1.762e+7, 2.036e+7, -59.9
2.143e+0, 1.095e+7, -2.014e+7, 2.292e+7, -61.5
1.875e+0, 1.191e+7, -2.315e+7, 2.604e+7, -62.8
1.500e+0, 1.323e+7, -2.682e+7, 2.990e+7, -63.7
1.250e+0, 1.521e+7, -3.172e+7, 3.518e+7, -64.4
1.000e+0, 1.849e+7, -3.777e+7, 4.205e+7, -63.9
8.333e-1, 2.281e+7, -4.428e+7, 4.981e+7, -62.7
6.818e-1, 2.782e+7, -5.131e+7, 5.837e+7, -61.5
5.556e-1, 3.347e+7, -5.848e+7, 6.738e+7, -60.2
4.687e-1, 4.009e+7, -6.586e+7, 7.710e+7, -58.7
3.846e-1, 4.819e+7, -7.353e+7, 8.791e+7, -56.8
3.191e-1, 5.799e+7, -8.127e+7, 9.984e+7, -54.5
2.632e-1, 6.994e+7, -8.892e+7, 1.131e+8, -51.8
2.143e-1, 8.362e+7, -9.591e+7, 1.272e+8, -48.9
1.786e-1, 9.870e+7, -1.018e+8, 1.418e+8, -45.9
1.471e-1, 1.152e+8, -1.065e+8, 1.569e+8, -42.8
1.210e-1, 1.328e+8, -1.098e+8, 1.723e+8, -39.6
1.000e-1, 1.514e+8, -1.114e+8, 1.880e+8, -36.3
